artist,rank,song,year
Baby Bash,84,Cyclone,2007
Rihanna,85,Break It Off,2007
Lifehouse,86,First Time,2007
50 Cent,87,Ayo Technology,2007
Bow Wow,88,Outta My System,2007
Taylor Swift,89,Teardrops on My Guitar,2007
Rihanna,90,Shut Up and Drive,2007
Red Hot Chili Peppers,91,Snow (Hey Oh),2007
Ludacris,92,Money Maker,2007
Chris Brown,93,Kiss Kiss,2007
Nickelback,94,Far Away,2007
Crime Mob,95,Rock Yo Hips,2007
Justin Timberlake,96,LoveStoned,2007
Hinder,97,Better than Me,2007
Finger Eleven,98,Paralyzer,2007
Snoop Dogg,99,That's That,2007
R. Kelly,100,Same Girl,2007
Flo Rida,1,Low,2008
Leona Lewis,2,Bleeding Love,2008
Alicia Keys,3,No One,2008
Lil Wayne,4,Lollipop,2008
Timbaland,5,Apologize,2008
Jordin Sparks,6,No Air,2008
Sara Bareilles,7,Love Song,2008
Usher,8,Love in This Club,2008
Chris Brown,9,With You,2008
Chris Brown,10,Forever,2008
Ray J,11,Sexy Can I,2008
Rihanna,12,Take a Bow,2008
Coldplay,13,Viva la Vida,2008
Katy Perry,14,I Kissed a Girl,2008
T.I.,15,Whatever You Like,2008
Rihanna,16,Disturbia,2008
Rihanna,17,Don't Stop the Music,2008
Natasha Bedingfield,18,Pocketful of Sunshine,2008
Chris Brown,19,Kiss Kiss,2008
Ne-Yo,20,Closer,2008
Colbie Caillat,21,Bubbly,2008
Mariah Carey,22,Touch My Body,2008
Madonna,23,4 Minutes,2008
Pink,24,So What,2008
Finger Eleven,25,Paralyzer,2008
Fergie,26,Clumsy,2008
Jason Mraz,27,I'm Yours,2008
Jesse McCartney,28,Leavin',2008
Kardinal Offishall,29,Dangerous,2008
Jordin Sparks,30,Tattoo,2008
Miley Cyrus,31,See You Again,2008
Metro Station,32,Shake It,2008
OneRepublic,33,Stop and Stare,2008
Sean Kingston,34,Take You There,2008
M.I.A.,35,Paper Planes,2008
Katy Perry,36,Hot n Cold,2008
T.I.,37,Live Your Life,2008
Plies,38,Bust It Baby (Part 2),2008
Estelle,39,American Boy,2008
Lil Wayne,40,Got Money,2008
Taylor Swift,41,Our Song,2008
Danity Kane,42,Damaged,2008
Lil Wayne,43,A Milli,2008
Buckcherry,44,Sorry,2008
Webbie,45,Independent,2008
T-Pain,46,Can't Believe It,2008
Alicia Keys,47,Like You'll Never See Me Again,2008
Taylor Swift,48,Teardrops on My Guitar,2008
Pussycat Dolls,49,When I Grow Up,2008
Snoop Dogg,50,Sexual Eruption,2008
Colby O'Donis,51,What You Got,2008
3 Doors Down,52,It's Not My Time,2008
Leona Lewis,53,Better in Time,2008
Soulja Boy Tell 'Em,54,Crank That (Soulja Boy),2008
Linkin Park,55,Shadow of the Day,2008
Wyclef Jean,56,Sweetest Girl (Dollar Bill),2008
Ne-Yo,57,Miss Independent,2008
Secondhand Serenade,58,Fall for You,2008
Flo Rida,59,In the Ayer,2008
John Mayer,60,Say,2008
Jordin Sparks,61,One Step at a Time,2008
Rihanna,62,Hate That I Love You,2008
Lupe Fiasco,63,Superstar,2008
J. Holiday,64,Suffocate,2008
Kevin Rudolf,65,Let It Rock,2008
David Banner,66,Get Like Me,2008
Colbie Caillat,67,Realize,2008
Young Jeezy,68,Put On,2008
David Cook,69,The Time of My Life,2008
Three 6 Mafia,70,Lolli Lolli (Pop That Body),2008
Baby Bash,71,Cyclone,2008
Natasha Bedingfield,72,Love Like This,2008
Jonas Brothers,73,Burnin' Up,2008
Kanye West,74,Love Lockdown,2008
The-Dream,75,I Luv Your Girl,2008
David Archuleta,76,Crush,2008
Plies,77,Hypnotized,2008
Fergie,78,Big Girls Don't Cry,2008
Kanye West,79,Good Life,2008
Britney Spears,80,Womanizer,2008
Taylor Swift,81,Love Story,2008
Mary J. Blige,82,Just Fine,2008
Britney Spears,83,Piece of Me,2008
Rick Ross,84,The Boss,2008
Kid Rock,85,All Summer Long,2008
Trey Songz,86,Can't Help but Wait,2008
Gavin DeGraw,87,In Love with a Girl,2008
The Game,88,My Life,2008
Keyshia Cole,89,I Remember,2008
Kanye West,90,Flashing Lights,2008
Lil Wayne,91,Mrs. Officer,2008
Miley Cyrus,92,7 Things,2008
Trace Adkins,93,You're Gonna Miss This,2008
Gavin Rossdale,94,Love Remains the Same,2008
Daughtry,95,Feels Like Tonight,2008
Timbaland,96,The Way I Are,2008
Saving Abel,97,Addicted,2008
Santana,98,Into the Night,2008
Keyshia Cole,99,Heaven Sent,2008
2 Pistols,100,She Got It,2008
The Black Eyed Peas,1,Boom Boom Pow,2009
Lady Gaga,2,Poker Face,2009
Lady Gaga,3,Just Dance,2009
The Black Eyed Peas,4,I Gotta Feeling,2009
Taylor Swift,5,Love Story,2009
Flo Rida,6,Right Round,2009
Jason Mraz,7,I'm Yours,2009
Beyoncé,8,Single Ladies (Put a Ring on It),2009
Kanye West,9,Heartless,2009
The All-American Rejects,10,Gives You Hell,2009
Taylor Swift,11,You Belong with Me,2009
T.I.,12,Dead and Gone,2009
The Fray,13,You Found Me,2009
Kings of Leon,14,Use Somebody,2009
Keri Hilson,15,Knock You Down,2009
Jamie Foxx,16,Blame It,2009
Pitbull,17,I Know You Want Me (Calle Ocho),2009
T.I.,18,Live Your Life,2009
Soulja Boy Tell 'Em,19,Kiss Me thru the Phone,2009
Jay Sean,20,Down,2009
Miley Cyrus,21,The Climb,2009
Drake,22,Best I Ever Had,2009
Kelly Clarkson,23,My Life Would Suck Without You,2009
Beyoncé,24,Halo,2009
Katy Perry,25,Hot n Cold,2009
Shinedown,26,Second Chance,2009
Britney Spears,27,Circus,2009
Kid Cudi,28,Day 'n' Nite,2009
Miley Cyrus,29,Party in the U.S.A.,2009
3OH!3,30,Don't Trust Me,2009
Jay-Z,31,Run This Town,2009
Kevin Rudolf,32,Let It Rock,2009
Sean Kingston,33,Fire Burning,2009
Jason Derulo,34,Whatcha Say,2009
Lady Gaga,35,LoveGame,2009
Katy Perry,36,Waking Up in Vegas,2009
Jeremih,37,Birthday Sex,2009
Pink,38,Sober,2009
Britney Spears,39,Womanizer,2009
T.I.,40,Whatever You Like,2009
Mariah Carey,41,Obsessed,2009
Ne-Yo,42,Mad,2009
Cobra Starship,43,Good Girls Go Bad,2009
Kanye West,44,Love Lockdown,2009
Pink,45,So What,2009
Pitbull,46,Hotel Room Service,2009
Eminem,47,Crack a Bottle,2009
Beyoncé,48,If I Were a Boy,2009
Keri Hilson,49,Turnin Me On,2009
Pussycat Dolls,50,I Hate This Part,2009
Nickelback,51,Gotta Be Somebody,2009
Pink,52,Please Don't Leave Me,2009
Lady Gaga,53,Paparazzi,2009
Akon,54,Beautiful,2009
Coldplay,55,Viva la Vida,2009
Akon,56,Right Now (Na Na Na),2009
Jordin Sparks,57,Battlefield,2009
Flo Rida,58,Sugar,2009
Ne-Yo,59,Miss Independent,2009
Owl City,60,Fireflies,2009
Linkin Park,61,New Divide,2009
Jay-Z,62,Empire State of Mind,2009
Daughtry,63,No Surprise,2009
Shakira,64,She Wolf,2009
Mario,65,Break Up,2009
Beyoncé,66,Sweet Dreams,2009
Young Money,67,Every Girl,2009
Colbie Caillat,68,Fallin' for You,2009
The Veronicas,69,Untouched,2009
Nickelback,70,If Today Was Your Last Day,2009
Fabolous,71,Throw It in the Bag,2009
Boys Like Girls,72,Love Drunk,2009
Asher Roth,73,I Love College,2009
Britney Spears,74,If U Seek Amy,2009
Jason Aldean,75,Big Green Tractor,2009
Taylor Swift,76,White Horse,2009
Rihanna,77,Disturbia,2009
Green Day,78,21 Guns,2009
Soulja Boy Tell 'Em,79,Turn My Swag On,2009
The-Dream,80,Rockin' That Thang,2009
Zac Brown Band,81,Chicken Fried,2009
Beyoncé,82,Diva,2009
Iyaz,83,Replay,2009
Brad Paisley,84,Then,2009
Rob Thomas,85,Her Diamonds,2009
Jesse McCartney,86,How Do You Sleep?,2009
Britney Spears,87,3,2009
Drake,88,Forever,2009
Justin Bieber,89,One Time,2009
Lady Antebellum,90,I Run to You,2009
Kelly Clarkson,91,I Do Not Hook Up,2009
John Legend,92,Green Light,2009
Billy Currington,93,People Are Crazy,2009
Zac Brown Band,94,Whatever It Is,2009
Kelly Clarkson,95,Already Gone,2009
Kristinia DeBarge,96,Goodbye,2009
Michael Franti &amp; Spearhead,97,Say Hey (I Love You),2009
Jim Jones,98,Pop Champagne,2009
Maxwell,99,Pretty Wings,2009
The Fray,100,Never Say Never,2009
Kesha,1,Tik Tok,2010
Lady Antebellum,2,Need You Now,2010
Train,3,"Hey, Soul Sister",2010
Katy Perry,4,California Gurls,2010
Usher,5,OMG,2010
B.o.B,6,Airplanes,2010
Eminem,7,Love the Way You Lie,2010
Lady Gaga,8,Bad Romance,2010
Taio Cruz,9,Dynamite,2010
Taio Cruz,10,Break Your Heart,2010
B.o.B,11,Nothin' on You,2010
Enrique Iglesias,12,I Like It,2010
Young Money,13,BedRock,2010
Jason Derulo,14,In My Head,2010
Rihanna,15,Rude Boy,2010
Lady Gaga,16,Telephone,2010
Katy Perry,17,Teenage Dream,2010
Bruno Mars,18,Just the Way You Are,2010
Mike Posner,19,Cooler Than Me,2010
The Black Eyed Peas,20,Imma Be,2010
Jay-Z,21,Empire State of Mind,2010
Usher,22,DJ Got Us Fallin' in Love,2010
Travie McCoy,23,Billionaire,2010
Eminem,24,Not Afraid,2010
Iyaz,25,Replay,2010
David Guetta,26,Sexy Bitch,2010
The Script,27,Breakeven,2010
Kesha,28,Your Love Is My Drug,2010
The Black Eyed Peas,29,I Gotta Feeling,2010
Owl City,30,Fireflies,2010
Trey Songz,31,Say Aah,2010
Drake,32,Find Your Love,2010
Lady Gaga,33,Alejandro,2010
Jason Derulo,34,Ridin' Solo,2010
Nelly,35,Just a Dream,2010
Ludacris,36,How Low,2010
Far East Movement,37,Like a G6,2010
Timbaland,38,Carry Out,2010
Michael Bublé,39,Haven't Met You Yet,2010
Flo Rida,40,Club Can't Handle Me,2010
Jay Sean,41,Down,2010
La Roux,42,Bulletproof,2010
Jason Derulo,43,Whatcha Say,2010
Justin Bieber,44,Baby,2010
Adam Lambert,45,Whataya Want from Me,2010
Taylor Swift,46,Mine,2010
Rihanna,47,Only Girl (In the World),2010
Kris Allen,48,Live Like We're Dying,2010
Rihanna,49,Hard,2010
Jay-Z,50,Young Forever,2010
Kesha,51,Blah Blah Blah,2010
Trey Songz,52,Bottoms Up,2010
Jay Sean,53,Do You Remember,2010
OneRepublic,54,All the Right Moves,2010
Orianthi,55,According to You,2010
Ludacris,56,My Chick Bad,2010
Taylor Swift,57,You Belong with Me,2010
The Black Eyed Peas,58,Meet Me Halfway,2010
Kesha,59,Take It Off,2010
Drake,60,Over,2010
Neon Trees,61,Animal,2010
Maroon 5,62,Misery,2010
B.o.B,63,Magic,2010
Lady Gaga,64,Paparazzi,2010
New Boyz,65,Tie Me Down,2010
Nicki Minaj,66,Your Love,2010
Miley Cyrus,67,Party in the U.S.A.,2010
Chris Brown,68,Deuces,2010
Britney Spears,69,3,2010
Shontelle,70,Impossible,2010
Drake,71,Forever,2010
Boys Like Girls,72,Two Is Better Than One,2010
3OH!3,73,My First Kiss,2010
Kelly Clarkson,74,Already Gone,2010
The Black Eyed Peas,75,Rock That Body,2010
OneRepublic,76,Secrets,2010
Selena Gomez &amp; the Scene,77,Naturally,2010
Alicia Keys,78,Un-Thinkable (I'm Ready),2010
DJ Khaled,79,All I Do Is Win,2010
Kevin Rudolf,80,I Made It (Cash Money Heroes),2010
Sugarland,81,Stuck Like Glue,2010
Usher,82,Hey Daddy (Daddy's Home),2010
Usher,83,There Goes My Baby,2010
Taylor Swift,84,Today Was a Fairytale,2010
Timbaland,85,Say Something,2010
Beyoncé,86,Sweet Dreams,2010
Kings of Leon,87,Use Somebody,2010
Carrie Underwood,88,Undo It,2010
Sean Kingston,89,Eenie Meenie,2010
Lil Wayne,90,Right Above It,2010
Miranda Lambert,91,The House That Built Me,2010
The Band Perry,92,If I Die Young,2010
Paramore,93,The Only Exception,2010
Lady Antebellum,94,American Honey,2010
Sara Bareilles,95,King of Anything,2010
Daughtry,96,Life After You,2010
Uncle Kracker,97,Smile,2010
Cali Swag District,98,Teach Me How to Dougie,2010
Alicia Keys,99,Try Sleeping with a Broken Heart,2010
Jerrod Niemann,100,"Lover, Lover",2010
Adele,1,Rolling in the Deep,2011
LMFAO,2,Party Rock Anthem,2011
Katy Perry,3,Firework,2011
Katy Perry,4,E.T.,2011
Pitbull,5,Give Me Everything,2011
Bruno Mars,6,Grenade,2011
CeeLo Green,7,Fuck You,2011
Nicki Minaj,8,Super Bass,2011
Maroon 5,9,Moves like Jagger,2011
The Black Eyed Peas,10,Just Can't Get Enough,2011
Jennifer Lopez,11,On the Floor,2011
Rihanna,12,S&amp;M,2011
Foster the People,13,Pumped Up Kicks,2011
Katy Perry,14,Last Friday Night (T.G.I.F.),2011
Bruno Mars,15,Just the Way You Are,2011
Enrique Iglesias,16,Tonight (I'm Lovin' You),2011
Pink,17,Raise Your Glass,2011
Lady Gaga,18,Born This Way,2011
Pink,19,F**kin' Perfect,2011
Rihanna,20,What's My Name?,2011
Chris Brown,21,Look at Me Now,2011
Jeremih,22,Down on Me,2011
Lil Wayne,23,How to Love,2011
Adele,24,Someone Like You,2011
OneRepublic,25,Good Life,2011
Bruno Mars,26,The Lazy Song,2011
Britney Spears,27,Till the World Ends,2011
Lupe Fiasco,28,The Show Goes On,2011
Lady Gaga,29,The Edge of Glory,2011
Kesha,30,We R Who We R,2011
Wiz Khalifa,31,Black and Yellow,2011
Hot Chelle Rae,32,Tonight Tonight,2011
Kesha,33,Blow,2011
Bad Meets Evil,34,Lighters,2011
The Band Perry,35,If I Die Young,2011
Gym Class Heroes,36,Stereo Hearts,2011
The Black Eyed Peas,37,The Time (Dirty Bit),2011
Diddy  Dirty Money,38,Coming Home,2011
Pitbull,39,Hey Baby (Drop It to the Floor),2011
Rihanna,40,Only Girl (In the World),2011
Lil Wayne,41,6 Foot 7 Foot,2011
Lady Antebellum,42,Just a Kiss,2011
Jason Aldean,43,Dirt Road Anthem,2011
Taio Cruz,44,Dynamite,2011
Waka Flocka Flame,45,No Hands,2011
Britney Spears,46,I Wanna Go,2011
DJ Khaled,47,I'm on One,2011
Cobra Starship,48,You Make Me Feel...,2011
Chris Brown,49,Yeah 3x,2011
Nicki Minaj,50,Moment 4 Life,2011
Dr. Dre,51,I Need a Doctor,2011
Nelly,52,Just a Dream,2011
Kelly Rowland,53,Motivation,2011
Edward Maya,54,Stereo Love,2011
Christina Perri,55,Jar of Hearts,2011
Wiz Khalifa,56,Roll Up,2011
LMFAO,57,Sexy and I Know It,2011
Far East Movement,58,Rocketeer,2011
Kanye West,59,All of the Lights,2011
Britney Spears,60,Hold It Against Me,2011
Usher,61,More,2011
Avril Lavigne,62,What the Hell,2011
Tinie Tempah,63,Written in the Stars,2011
Trey Songz,64,Bottoms Up,2011
Usher,65,DJ Got Us Fallin' in Love,2011
The Script,66,For the First Time,2011
Blake Shelton,67,Honey Bee,2011
Jason Aldean,68,Don't You Wanna Stay,2011
Rihanna,69,We Found Love,2011
Keri Hilson,70,Pretty Girl Rock,2011
Lady Gaga,71,Yoü and I,2011
Far East Movement,72,Like a G6,2011
David Guetta,73,Without You,2011
Taylor Swift,74,Back to December,2011
Katy Perry,75,Teenage Dream,2011
Eli Young Band,76,Crazy Girl,2011
Rihanna,77,Cheers (Drink to That),2011
Selena Gomez &amp; the Scene,78,Who Says,2011
Jake Owen,79,Barefoot Blue Jean Night,2011
Zac Brown Band,80,Knee Deep,2011
Luke Bryan,81,Country Girl (Shake It for Me),2011
Brad Paisley,82,Remind Me,2011
Dev,83,In the Dark,2011
New Boyz,84,Backseat,2011
Drake,85,Headlines,2011
Beyoncé,86,Best Thing I Never Had,2011
Jason Derulo,87,Don't Wanna Go Home,2011
David Guetta,88,Where Them Girls At,2011
Chris Brown,89,She Ain't You,2011
Rodney Atkins,90,Take a Back Road,2011
Mike Posner,91,Please Don't Go,2011
Miguel,92,Sure Thing,2011
Jessie J,93,Price Tag,2011
Blake Shelton,94,God Gave Me You,2011
Lil Wayne,95,She Will,2011
Thompson Square,96,Are You Gonna Kiss Me or Not,2011
Neon Trees,97,Animal,2011
Kenny Chesney,98,You and Tequila,2011
Zac Brown Band,99,Colder Weather,2011
Big Sean,100,My Last,2011
Gotye,1,Somebody That I Used to Know,2012
Carly Rae Jepsen,2,Call Me Maybe,2012
Fun,3,We Are Young,2012
Maroon 5,4,Payphone,2012
Ellie Goulding,5,Lights,2012
The Wanted,6,Glad You Came,2012
Kelly Clarkson,7,Stronger (What Doesn't Kill You),2012
Rihanna,8,We Found Love,2012
Nicki Minaj,9,Starships,2012
One Direction,10,What Makes You Beautiful,2012
Flo Rida,11,Wild Ones,2012
Adele,12,Set Fire to the Rain,2012
LMFAO,13,Sexy and I Know It,2012
Fun,14,Some Nights,2012
Katy Perry,15,Wide Awake,2012
Flo Rida,16,Good Feeling,2012
Flo Rida,17,Whistle,2012
Maroon 5,18,One More Night,2012
Train,19,Drive By,2012
Drake,20,The Motto,2012
Rihanna,21,Where Have You Been,2012
Neon Trees,22,Everybody Talks,2012
Drake,23,Take Care,2012
David Guetta,24,Titanium,2012
Jason Mraz,25,I Won't Give Up,2012
Bruno Mars,26,It Will Rain,2012
Kanye West,27,Mercy,2012
Justin Bieber,28,Boyfriend,2012
LMFAO,29,Party Rock Anthem,2012
Alex Clare,30,Too Close,2012
Katy Perry,31,Part of Me,2012
Snoop Dogg,32,"Young, Wild &amp; Free",2012
Taylor Swift,33,We Are Never Ever Getting Back Together,2012
Justin Bieber,34,As Long as You Love Me,2012
David Guetta,35,Turn Me On,2012
Maroon 5,36,Moves like Jagger,2012
Pink,37,Blow Me (One Last Kiss),2012
Owl City,38,Good Time,2012
Demi Lovato,39,Give Your Heart a Break,2012
Jay-Z,40,Niggas in Paris,2012
Katy Perry,41,The One That Got Away,2012
Calvin Harris,42,Feel So Close,2012
Adele,43,Someone like You,2012
Usher,44,Scream,2012
Tyga,45,Rack City,2012
Jessie J,46,Domino,2012
Psy,47,Gangnam Style,2012
Pitbull,48,International Love,2012
Phillip Phillips,49,Home,2012
David Guetta,50,Without You,2012
Gym Class Heroes,51,Ass Back Home,2012
Hunter Hayes,52,Wanted,2012
Luke Bryan,53,Drunk on You,2012
2 Chainz,54,No Lie,2012
Cher Lloyd,55,Want U Back,2012
Chris Brown,56,Don't Wake Me Up,2012
Big Sean,57,Dance (A$$),2012
Eric Church,58,Springsteen,2012
Karmin,59,Brokenhearted,2012
Gavin DeGraw,60,Not Over You,2012
Gym Class Heroes,61,Stereo Hearts,2012
Pitbull,62,Back in Time,2012
J. Cole,63,Work Out,2012
Adele,64,Rumour Has It,2012
Calvin Harris,65,Let's Go,2012
Carrie Underwood,66,Good Girl,2012
Little Big Town,67,Pontoon,2012
The Lumineers,68,Ho Hey,2012
Coldplay,69,Paradise,2012
Carrie Underwood,70,Blown Away,2012
Adele,71,Rolling in the Deep,2012
Usher,72,Climax,2012
Wiz Khalifa,73,"Work Hard, Play Hard",2012
Ne-Yo,74,Let Me Love You (Until You Learn to Love Yourself),2012
Nicki Minaj,75,Pound the Alarm,2012
Kenny Chesney,76,Come Over,2012
Trey Songz,77,Heart Attack,2012
Kirko Bangz,78,Drank in My Cup,2012
Rihanna,79,Birthday Cake,2012
B.o.B,80,So Good,2012
Train,81,50 Ways to Say Goodbye,2012
Toby Keith,82,Red Solo Cup,2012
Selena Gomez &amp; the Scene,83,Love You like a Love Song,2012
Chris Brown,84,Turn Up the Music,2012
Kesha,85,Die Young,2012
T-Pain,86,5 O'Clock,2012
Christina Perri,87,A Thousand Years,2012
Jason Aldean,88,Take a Little Ride,2012
Rihanna,89,You da One,2012
Havana Brown,90,We Run the Night,2012
Imagine Dragons,91,It's Time,2012
Cash Out,92,Cashin' Out,2012
Luke Bryan,93,I Don't Want This Night to End,2012
Rihanna,94,Diamonds,2012
Lee Brice,95,Hard to Love,2012
Kip Moore,96,Somethin' 'Bout a Truck,2012
Miguel,97,Adorn,2012
Jason Aldean,98,Fly Over States,2012
Eli Young Band,99,Even If It Breaks Your Heart,2012
Linkin Park,100,Burn It Down,2012
Macklemore &amp; Ryan Lewis,1,Thrift Shop,2013
Robin Thicke,2,Blurred Lines,2013
Imagine Dragons,3,Radioactive,2013
Baauer,4,Harlem Shake,2013
Macklemore &amp; Ryan Lewis,5,Can't Hold Us,2013
Justin Timberlake,6,Mirrors,2013
Pink,7,Just Give Me a Reason,2013
Bruno Mars,8,When I Was Your Man,2013
Florida Georgia Line,9,Cruise,2013
Katy Perry,10,Roar,2013
Bruno Mars,11,Locked Out of Heaven,2013
The Lumineers,12,Ho Hey,2013
Rihanna,13,Stay,2013
Daft Punk,14,Get Lucky,2013
Lorde,15,Royals,2013
Taylor Swift,16,I Knew You Were Trouble,2013
Miley Cyrus,17,We Can't Stop,2013
Miley Cyrus,18,Wrecking Ball,2013
Avicii,19,Wake Me Up,2013
Justin Timberlake,20,Suit &amp; Tie,2013
Anna Kendrick,21,Cups (Pitch Perfect's <i>When I'm Gone</i>),2013
Jay-Z,22,Holy Grail,2013
will.i.am,23,Scream &amp; Shout,2013
Zedd,24,Clarity,2013
Awolnation,25,Sail,2013
Swedish House Mafia,26,Don't You Worry Child,2013
Rihanna,27,Diamonds,2013
Icona Pop,28,I Love It,2013
Capital Cities,29,Safe and Sound,2013
Bruno Mars,30,Treasure,2013
Ariana Grande,31,The Way,2013
Drake,32,Started from the Bottom,2013
Selena Gomez,33,Come &amp; Get It,2013
Drake,34,"Hold On, We're Going Home",2013
Maroon 5,35,Daylight,2013
Pitbull,36,Feel This Moment,2013
Lady Gaga,37,Applause,2013
Maroon 5,38,One More Night,2013
Lil Wayne,39,Love Me,2013
Fall Out Boy,40,My Songs Know What You Did in the Dark (Light Em Up),2013
ASAP Rocky,41,Fuckin' Problems,2013
Justin Bieber,42,Beauty and a Beat,2013
Macklemore &amp; Ryan Lewis,43,Same Love,2013
Calvin Harris,44,Sweet Nothing,2013
Lana Del Rey,45,Summertime Sadness,2013
Phillip Phillips,46,Home,2013
Imagine Dragons,47,It's Time,2013
J. Cole,48,Power Trip,2013
Alicia Keys,49,Girl on Fire,2013
Demi Lovato,50,Heart Attack,2013
Maroon 5,51,Love Somebody,2013
Mumford &amp; Sons,52,I Will Wait,2013
Pink,53,Try,2013
Darius Rucker,54,Wagon Wheel,2013
Psy,55,Gangnam Style,2013
Calvin Harris,56,I Need Your Love,2013
Kesha,57,Die Young,2013
Fun,58,Some Nights,2013
Wale,59,Bad,2013
Blake Shelton,60,Boys 'Round Here,2013
Phillip Phillips,61,"Gone, Gone, Gone",2013
Imagine Dragons,62,Demons,2013
OneRepublic,63,Counting Stars,2013
Flo Rida,64,I Cry,2013
Of Monsters and Men,65,Little Talks,2013
Jason Derulo,66,The Other Side,2013
Eminem,67,Berzerk,2013
Kelly Clarkson,68,Catch My Breath,2013
Luke Bryan,69,Crash My Party,2013
Rihanna,70,Pour It Up,2013
Taylor Swift,71,22,2013
Hunter Hayes,72,I Want Crazy,2013
Ylvis,73,The Fox (What Does the Fox Say?),2013
One Direction,74,Best Song Ever,2013
Ed Sheeran,75,The A Team,2013
Fun,76,Carry On,2013
Tim McGraw,77,Highway Don't Care,2013
Luke Bryan,78,That's My Kind of Night,2013
Kendrick Lamar,79,Swimming Pools (Drank),2013
Blake Shelton,80,Sure Be Cool If You Did,2013
Mariah Carey,81,#Beautiful,2013
Olly Murs,82,Troublemaker,2013
Ciara,83,Body Party,2013
Miguel,84,Adorn,2013
The Script,85,Hall of Fame,2013
Ne-Yo,86,Let Me Love You (Until You Learn to Love Yourself),2013
Rocko,87,U.O.E.N.O.,2013
Emeli Sandé,88,Next to Me,2013
Miranda Lambert,89,Mama's Broken Heart,2013
Thomas Rhett,90,It Goes Like This,2013
Ace Hood,91,Bugatti,2013
Hunter Hayes,92,Wanted,2013
